"accession","checkm2_completeness","checkm2_contamination","checkm_completeness","checkm_contamination","gc_percentage","genome_size","gtdb_representative","gtdb_taxonomy","Domain","Phylum","Class","Order","Family","Genus","Species","ncbi_assembly_level","ncbi_country","ncbi_genbank_assembly_accession","ncbi_genome_category","ncbi_isolation_source","ncbi_refseq_category","ncbi_species_taxid","ncbi_taxid","Oxygen.tolerance","Oxygen2"
"RS_GCF_023349185.1",100,0.49,99.72,0,53.2427946082007,4412182,TRUE,"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Shewanellaceae;g__Shewanella;s__Shewanella aquimarina","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Enterobacterales","f__Shewanellaceae","g__Shewanella","s__Shewanella aquimarina","Contig","South Korea: Yellow Sea","GCA_023349185.1","none","seawater","representative genome",260365,260365,"facultative anaerobe","facultative"
"RS_GCF_010093225.1",99.95,0.17,99.48,0.04,70.1724517848524,3049664,TRUE,"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Pseudoxanthomonas;s__Pseudoxanthomonas koreensis","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Xanthomonadales","f__Xanthomonadaceae","g__Pseudoxanthomonas","s__Pseudoxanthomonas koreensis","Contig","South Korea","GCA_010093225.1","none","Soil from a ginseng field","representative genome",266061,266061,"facultative anaerobe","facultative"
"RS_GCF_000723365.1",92.38,0.17,99.14,0.75,31.5557879229016,1029022,TRUE,"d__Bacteria;p__Bacillota;c__Bacilli;o__Mycoplasmatales;f__Mycoplasmoidaceae;g__Mycoplasmoides;s__Mycoplasmoides amphoriforme","d__Bacteria","p__Bacillota","c__Bacilli","o__Mycoplasmatales","f__Mycoplasmoidaceae","g__Mycoplasmoides","s__Mycoplasmoides amphoriforme","Complete Genome","none","GCA_000723365.1","none","none","representative genome",273136,572419,"facultative anaerobe","facultative"
"RS_GCF_007997295.1",99.92,0.67,99.62,0,35.0024303331327,3727884,TRUE,"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Gillisia;s__Gillisia hiemivivida","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Flavobacteriales","f__Flavobacteriaceae","g__Gillisia","s__Gillisia hiemivivida","Contig","Antarctica: Vestfold Hills","GCA_007997295.1","none","coastal sea-ice brine","representative genome",291190,291190,"facultative anaerobe","facultative"
"RS_GCF_019655335.1",100,0.66,99.84,0.12,46.2813004874995,4965338,TRUE,"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Shewanellaceae;g__Shewanella;s__Shewanella hafniensis","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Enterobacterales","f__Shewanellaceae","g__Shewanella","s__Shewanella hafniensis","Contig","none","GCA_019655335.1","none","none","representative genome",365590,365590,"facultative anaerobe","facultative"
"RS_GCF_017876055.1",100,0.63,100,3.95,67.7198167358673,7952238,FALSE,"d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Azospirillales;f__Azospirillaceae;g__Azospirillum;s__Azospirillum melinis","d__Bacteria","p__Pseudomonadota","c__Alphaproteobacteria","o__Azospirillales","f__Azospirillaceae","g__Azospirillum","s__Azospirillum melinis","Contig","none","GCA_017876055.1","none","none","na",328839,328839,"facultative anaerobe","facultative"
"RS_GCF_003012795.1",99.99,0.27,99.97,0,62.2784001397171,3618741,TRUE,"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Aeromonadaceae;g__Oceanimonas;s__Oceanimonas taiwanensis","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Enterobacterales","f__Aeromonadaceae","g__Oceanimonas","s__Oceanimonas taiwanensis","Contig","China: taiwan","GCA_003012795.1","none","mangrove ecosystems","representative genome",347535,347535,"facultative anaerobe","facultative"
"RS_GCF_000614865.1",96.3,0.75,97.2,2.42,44.206360345992,5143934,FALSE,"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prolixibacteraceae;g__Prolixibacter;s__Prolixibacter bellariivorans","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prolixibacteraceae","g__Prolixibacter","s__Prolixibacter bellariivorans","Contig","none","GCA_000614865.1","none","none","na",314319,1236540,"facultative anaerobe","facultative"
"RS_GCF_002005305.1",100,0.29,99.47,1.34,44.3040787886057,6353406,TRUE,"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Shewanellaceae;g__Shewanella;s__Shewanella psychrophila","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Enterobacterales","f__Shewanellaceae","g__Shewanella","s__Shewanella psychrophila","Complete Genome","Pacific Ocean","GCA_002005305.1","none","marine sediment","representative genome",225848,225848,"facultative anaerobe","facultative"
"RS_GCF_000014885.1",100,0.15,99.84,0,43.2917889378179,5396476,TRUE,"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Shewanellaceae;g__Shewanella;s__Shewanella piezotolerans","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Enterobacterales","f__Shewanellaceae","g__Shewanella","s__Shewanella piezotolerans","Complete Genome","none","GCA_000014885.1","none","none","representative genome",404011,225849,"facultative anaerobe","facultative"
"RS_GCF_002282855.1",99.99,0.05,99.46,0,50.7828029521592,3802234,TRUE,"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Shewanellaceae;g__Paraferrimonas;s__Paraferrimonas sedimenticola","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Enterobacterales","f__Shewanellaceae","g__Paraferrimonas","s__Paraferrimonas sedimenticola","Contig","Japan: Okinawa Island","GCA_002282855.1","none","marine sediment","representative genome",375674,375674,"facultative anaerobe","facultative"
"RS_GCF_013204795.1",99.99,0.46,99.52,0.96,38.7227481002803,6228419,TRUE,"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Pedobacter;s__Pedobacter panaciterrae","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Sphingobacteriales","f__Sphingobacteriaceae","g__Pedobacter","s__Pedobacter panaciterrae","Contig","South Korea: Pocheon","GCA_013204795.1","none","soil","representative genome",363849,363849,"facultative anaerobe","facultative"
"RS_GCF_001434585.1",100,0.06,99.48,1.05,34.9986776306927,2219511,TRUE,"d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Companilactobacillus;s__Companilactobacillus crustorum","d__Bacteria","p__Bacillota","c__Bacilli","o__Lactobacillales","f__Lactobacillaceae","g__Companilactobacillus","s__Companilactobacillus crustorum","Contig","none","GCA_001434585.1","none","Wheat sourdough","na",392416,1423737,"facultative anaerobe","facultative"
"RS_GCF_014651595.1",100,0.32,100,0.35,52.6894155791535,4960757,TRUE,"d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Stappiaceae;g__Pseudovibrio;s__Pseudovibrio japonicus","d__Bacteria","p__Pseudomonadota","c__Alphaproteobacteria","o__Rhizobiales","f__Stappiaceae","g__Pseudovibrio","s__Pseudovibrio japonicus","Scaffold","none","GCA_014651595.1","none","none","representative genome",366534,366534,"facultative anaerobe","facultative"
"RS_GCF_000420245.1",99.98,0.44,100,0.54,39.1135382589862,3979980,TRUE,"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Psychromonadaceae;g__Psychromonas;s__Psychromonas hadalis","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Enterobacterales","f__Psychromonadaceae","g__Psychromonas","s__Psychromonas hadalis","Contig","none","GCA_000420245.1","none","none","representative genome",211669,1278302,"facultative anaerobe","facultative"
"RS_GCF_014230145.1",96.9,0.27,99.32,1.35,52.2692714915986,4768689,TRUE,"d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiia;o__Opitutales;f__Opitutaceae;g__Pelagicoccus;s__Pelagicoccus albus","d__Bacteria","p__Verrucomicrobiota","c__Verrucomicrobiia","o__Opitutales","f__Opitutaceae","g__Pelagicoccus","s__Pelagicoccus albus","Contig","Japan: Palau","GCA_014230145.1","none","seawater","representative genome",415222,415222,"facultative anaerobe","facultative"
"RS_GCF_002128425.1",100,2.37,98.79,1.8,32.7959183459575,4770625,TRUE,"d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae_G;g__Gottfriedia;s__Gottfriedia acidiceleris","d__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae_G","g__Gottfriedia","s__Gottfriedia acidiceleris","Scaffold","USA","GCA_002128425.1","none","window sill","representative genome",371036,371036,"facultative anaerobe","facultative"
"RS_GCF_014651495.1",99.98,0.06,99.34,0.71,34.1927022397874,4436055,TRUE,"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Algibacter_E;s__Algibacter_E mikhailovii","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Flavobacteriales","f__Flavobacteriaceae","g__Algibacter_E","s__Algibacter_E mikhailovii","Contig","none","GCA_014651495.1","none","none","representative genome",425498,425498,"facultative anaerobe","facultative"
"GB_GCA_000614935.1",96.21,2.77,97.01,1.17,52.9049987869976,4929916,FALSE,"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Shewanellaceae;g__Shewanella;s__Shewanella algae","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Enterobacterales","f__Shewanellaceae","g__Shewanella","s__Shewanella algae","Contig","none","GCA_000614935.1","none","none","na",38313,1236541,"facultative anaerobe","facultative"
"RS_GCF_900207575.1",99.99,0.05,99.7,0.3,66.5318365916246,3806065,TRUE,"d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Cereibacter_A;s__Cereibacter_A ovatus","d__Bacteria","p__Pseudomonadota","c__Alphaproteobacteria","o__Rhodobacterales","f__Rhodobacteraceae","g__Cereibacter_A","s__Cereibacter_A ovatus","Scaffold","none","GCA_900207575.1","none","none","representative genome",439529,439529,"facultative anaerobe","facultative"
"RS_GCF_900217815.1",100,0.15,98.79,0.1,65.0748020712413,3833743,TRUE,"d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Rhodobacter;s__Rhodobacter maris","d__Bacteria","p__Pseudomonadota","c__Alphaproteobacteria","o__Rhodobacterales","f__Rhodobacteraceae","g__Rhodobacter","s__Rhodobacter maris","Scaffold","none","GCA_900217815.1","none","none","representative genome",446682,446682,"facultative anaerobe","facultative"
"RS_GCF_003581615.1",99.96,0.06,99.34,0.75,40.1071421564583,3721101,TRUE,"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flagellimonas;s__Flagellimonas lutimaris","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Flavobacteriales","f__Flavobacteriaceae","g__Flagellimonas","s__Flagellimonas lutimaris","Scaffold","South Korea: Saemankum on the Yellow Sea","GCA_003581615.1","none","tidal mudflat","representative genome",475082,475082,"facultative anaerobe","facultative"
"RS_GCF_000381745.1",100,0.66,100,0,41.9525604585142,5204311,TRUE,"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Psychromonadaceae;g__Psychromonas;s__Psychromonas ossibalaenae","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Enterobacterales","f__Psychromonadaceae","g__Psychromonas","s__Psychromonas ossibalaenae","Scaffold","Japan","GCA_000381745.1","none","none","representative genome",444922,1278307,"facultative anaerobe","facultative"
"RS_GCF_000428725.1",100,0.56,100,0,42.4583743288945,5534630,TRUE,"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Psychromonadaceae;g__Psychromonas;s__Psychromonas aquimarina","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Enterobacterales","f__Psychromonadaceae","g__Psychromonas","s__Psychromonas aquimarina","Scaffold","none","GCA_000428725.1","none","none","representative genome",444919,1278312,"facultative anaerobe","facultative"
"RS_GCF_000381785.1",100,0.69,99.14,0,47.483810876478,3799525,FALSE,"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Balneatricaceae;g__Amphritea;s__Amphritea japonica","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Pseudomonadales","f__Balneatricaceae","g__Amphritea","s__Amphritea japonica","Scaffold","none","GCA_000381785.1","none","none","na",452627,1278309,"facultative anaerobe","facultative"
"RS_GCF_003858655.1",99.33,3.04,99.57,0.43,47.7078579613247,4736203,TRUE,"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Balneatricaceae;g__Amphritea;s__Amphritea balenae","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Pseudomonadales","f__Balneatricaceae","g__Amphritea","s__Amphritea balenae","Contig","Japan: Kagoshima","GCA_003858655.1","none","marine sediment adjacent to sperm whale carcasses collected by the unmanned ROV HyperDolphin","representative genome",452629,452629,"facultative anaerobe","facultative"
"RS_GCF_000015245.1",100,0.06,100,0.54,53.5863889300446,4306142,TRUE,"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Shewanellaceae;g__Shewanella;s__Shewanella amazonensis","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Enterobacterales","f__Shewanellaceae","g__Shewanella","s__Shewanella amazonensis","Complete Genome","none","GCA_000015245.1","none","none","representative genome",60478,326297,"facultative anaerobe","facultative"
"GB_GCA_000984555.1",100,0.12,99.59,0.04,52.1899073462231,4548248,FALSE,"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Enterobacterales","f__Enterobacteriaceae","g__Salmonella","s__Salmonella enterica","Scaffold","none","GCA_000984555.1","none","none","na",28901,54388,"facultative anaerobe","facultative"
"RS_GCF_900460305.1",99.96,1.02,96.38,0.85,44.1189947839036,3747055,FALSE,"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Vibrio metschnikovii","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Enterobacterales","f__Vibrionaceae","g__Vibrio","s__Vibrio metschnikovii","Contig","none","GCA_900460305.1","none","none","na",28172,28172,"facultative anaerobe","facultative"
"RS_GCF_013415235.1",100,0.11,98.28,0,28.6369512986833,1802210,TRUE,"d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Gemellaceae;g__Gemelliphila;s__Gemelliphila palaticanis","d__Bacteria","p__Bacillota","c__Bacilli","o__Staphylococcales","f__Gemellaceae","g__Gemelliphila","s__Gemelliphila palaticanis","Contig","United Kingdom","GCA_013415235.1","none","Oral","representative genome",81950,81950,"facultative anaerobe","facultative"
"RS_GCF_000310485.1",100,0.18,100,0.18,35.2870990032468,2112860,FALSE,"d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus agalactiae","d__Bacteria","p__Bacillota","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Streptococcus","s__Streptococcus agalactiae","Contig","none","GCA_000310485.1","none","none","na",1311,1105256,"facultative anaerobe","facultative"
"RS_GCF_000262285.1",100,0,99.66,0,38.5434234218418,1822726,FALSE,"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Haemophilus;s__Haemophilus haemolyticus","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Enterobacterales","f__Pasteurellaceae","g__Haemophilus","s__Haemophilus haemolyticus","Contig","none","GCA_000262285.1","none","biological product [ENVO:02000043]","na",726,1095742,"facultative anaerobe","facultative"
"RS_GCF_900636725.1",100,0.8,99.85,1.86,38.6518610839872,1834173,FALSE,"d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus pyogenes","d__Bacteria","p__Bacillota","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Streptococcus","s__Streptococcus pyogenes","Complete Genome","USA: Texas (State)","GCA_900636725.1","none","Throat","na",1314,1314,"facultative anaerobe","facultative"
"RS_GCF_001913835.1",99.98,0.67,99.55,0,41.2145076773093,1706848,FALSE,"d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium vaginale","d__Bacteria","p__Actinomycetota","c__Actinomycetes","o__Actinomycetales","f__Bifidobacteriaceae","g__Bifidobacterium","s__Bifidobacterium vaginale","Contig","none","GCA_001913835.1","none","Clinical","na",2702,2702,"facultative anaerobe","facultative"
"RS_GCF_000771805.1",100,0.04,100,0,40.0378298489197,2258534,FALSE,"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Gallibacterium;s__Gallibacterium anatis","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Enterobacterales","f__Pasteurellaceae","g__Gallibacterium","s__Gallibacterium anatis","Contig","Czech Republic","GCA_000771805.1","none","none","na",750,1396513,"facultative anaerobe","facultative"
"RS_GCF_900172335.1",99.82,0.13,99.25,0.3,54.3325290437474,4287842,TRUE,"d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Roseovarius;s__Roseovarius albus","d__Bacteria","p__Pseudomonadota","c__Alphaproteobacteria","o__Rhodobacterales","f__Rhodobacteraceae","g__Roseovarius","s__Roseovarius albus","Contig","none","GCA_900172335.1","none","Seawater obtained off coast of Vinaroz","representative genome",1247867,1247867,"facultative anaerobe","facultative"
"RS_GCF_000463095.2",100,0.5,99.69,0.32,56.7758745487029,4574024,FALSE,"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Cronobacter;s__Cronobacter sakazakii","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Enterobacterales","f__Enterobacteriaceae","g__Cronobacter","s__Cronobacter sakazakii","Scaffold","United Kingdom","GCA_000463095.2","none","milk powder","na",28141,1367848,"facultative anaerobe","facultative"
"RS_GCF_000245815.1",99.77,0.33,99.18,2.45,39.5668971434886,1862135,TRUE,"d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Dolosigranulum;s__Dolosigranulum pigrum","d__Bacteria","p__Bacillota","c__Bacilli","o__Lactobacillales","f__Carnobacteriaceae","g__Dolosigranulum","s__Dolosigranulum pigrum","Scaffold","none","GCA_000245815.1","none","none","representative genome",29394,883103,"facultative anaerobe","facultative"
"RS_GCF_000518145.1",100,0.01,99.82,0.13,47.5410320592264,3929281,FALSE,"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Vibrio cholerae","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Enterobacterales","f__Vibrionaceae","g__Vibrio","s__Vibrio cholerae","Scaffold","none","GCA_000518145.1","none","not provided; submitted under MIGS 2.1","na",666,1408477,"facultative anaerobe","facultative"
"RS_GCF_000226495.2",100,0.1,99.89,0.02,42.1845234655941,2267213,FALSE,"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Aggregatibacter;s__Aggregatibacter aphrophilus","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Enterobacterales","f__Pasteurellaceae","g__Aggregatibacter","s__Aggregatibacter aphrophilus","Contig","USA","GCA_000226495.3","none","oral cavity","na",732,985008,"facultative anaerobe","facultative"
"RS_GCF_001454885.1",99.99,0.51,99.17,0,38.2623180047846,2842039,FALSE,"d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Listeriaceae;g__Listeria;s__Listeria monocytogenes_D","d__Bacteria","p__Bacillota","c__Bacilli","o__Lactobacillales","f__Listeriaceae","g__Listeria","s__Listeria monocytogenes_D","Complete Genome","USA","GCA_001454885.1","none","animal tissue","na",1639,1639,"facultative anaerobe","facultative"
"RS_GCF_000764895.1",100,0.03,100,0.28,46.4769951381477,5059800,FALSE,"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Vibrio vulnificus","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Enterobacterales","f__Vibrionaceae","g__Vibrio","s__Vibrio vulnificus","Contig","Japan","GCA_000764895.1","none","fish","na",672,672,"facultative anaerobe","facultative"
"RS_GCF_000344575.1",100,0.19,100,0.19,35.1042816535899,2421471,FALSE,"d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus lactis","d__Bacteria","p__Bacillota","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Lactococcus","s__Lactococcus lactis","Complete Genome","none","GCA_000344575.1","none","none","na",1358,1046624,"facultative anaerobe","facultative"
"RS_GCF_000765465.1",99.76,0.22,98.38,0.32,36.784862381637,1867665,FALSE,"d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus helveticus","d__Bacteria","p__Bacillota","c__Bacilli","o__Lactobacillales","f__Lactobacillaceae","g__Lactobacillus","s__Lactobacillus helveticus","Contig","Switzerland","GCA_000765465.1","none","dairy product","na",1587,1587,"facultative anaerobe","facultative"
"RS_GCF_900112565.1",100,0.37,100,0,37.652612791768,2370282,FALSE,"d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus gallolyticus","d__Bacteria","p__Bacillota","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Streptococcus","s__Streptococcus gallolyticus","Scaffold","none","GCA_900112565.1","none","none","na",315405,315405,"facultative anaerobe","facultative"
"RS_GCF_000014365.2",100,0.1,99.6,0.21,39.7060088479832,2046116,FALSE,"d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus pneumoniae","d__Bacteria","p__Bacillota","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Streptococcus","s__Streptococcus pneumoniae","Complete Genome","none","GCA_000014365.2","none","none","na",1313,373153,"facultative anaerobe","facultative"
"RS_GCF_001558475.2",100,0.2,100,0.03,46.3827560205168,4438697,FALSE,"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Vibrio mimicus","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Enterobacterales","f__Vibrionaceae","g__Vibrio","s__Vibrio mimicus","Complete Genome","USA:LA","GCA_001558475.2","none","Lake water","na",674,674,"facultative anaerobe","facultative"
"RS_GCF_000956195.1",100,0.85,99.07,3.4,44.3749563683114,3237330,FALSE,"d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactiplantibacillus;s__Lactiplantibacillus plantarum","d__Bacteria","p__Bacillota","c__Bacilli","o__Lactobacillales","f__Lactobacillaceae","g__Lactiplantibacillus","s__Lactiplantibacillus plantarum","Contig","France","GCA_000956195.1","none","human stool","na",1590,1590,"facultative anaerobe","facultative"
"RS_GCF_000241405.1",100,0.67,99.45,0.55,37.3512297533229,2892121,FALSE,"d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Listeriaceae;g__Listeria;s__Listeria innocua","d__Bacteria","p__Bacillota","c__Bacilli","o__Lactobacillales","f__Listeriaceae","g__Listeria","s__Listeria innocua","Scaffold","none","GCA_000241405.1","none","biological product [ENVO:02000043]","na",1642,1002366,"facultative anaerobe","facultative"
"RS_GCF_000568475.1",99.99,0.52,99.45,0.27,37.9609892129905,2951235,FALSE,"d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Listeriaceae;g__Listeria;s__Listeria monocytogenes","d__Bacteria","p__Bacillota","c__Bacilli","o__Lactobacillales","f__Listeriaceae","g__Listeria","s__Listeria monocytogenes","Complete Genome","Germany","GCA_000568475.1","none","none","na",1639,1457187,"facultative anaerobe","facultative"
"RS_GCF_000740795.1",100,0.37,98.94,0.38,64.5620391989692,4128680,TRUE,"d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Haematobacter;s__Haematobacter massiliensis","d__Bacteria","p__Pseudomonadota","c__Alphaproteobacteria","o__Rhodobacterales","f__Rhodobacteraceae","g__Haematobacter","s__Haematobacter massiliensis","Contig","France: Marseilles","GCA_000740795.1","none","an amoebic coculture","na",195105,195105,"facultative anaerobe","facultative"
"RS_GCF_000257495.1",99.99,0.53,98.87,0.29,41.2970702446871,1938353,FALSE,"d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus oralis","d__Bacteria","p__Bacillota","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Streptococcus","s__Streptococcus oralis","Contig","none","GCA_000257495.1","none","biological product [ENVO:02000043]","na",1303,1095739,"facultative anaerobe","facultative"
"RS_GCF_002868275.1",99.99,0.26,99.03,0,36.4919426142463,2141841,FALSE,"d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus helveticus","d__Bacteria","p__Bacillota","c__Bacilli","o__Lactobacillales","f__Lactobacillaceae","g__Lactobacillus","s__Lactobacillus helveticus","Scaffold","France: Paris","GCA_002868275.1","none","none","na",1587,1587,"facultative anaerobe","facultative"
"RS_GCF_900461195.1",100,0.19,99.25,0,39.77515012335,3893798,FALSE,"d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_D;s__Enterococcus_D gallinarum","d__Bacteria","p__Bacillota","c__Bacilli","o__Lactobacillales","f__Enterococcaceae","g__Enterococcus_D","s__Enterococcus_D gallinarum","Contig","none","GCA_900461195.1","none","none","na",1353,1353,"facultative anaerobe","facultative"
"RS_GCF_000754175.1",100,0.85,99.39,1.05,50.6887365427922,4533554,FALSE,"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Enterobacterales","f__Enterobacteriaceae","g__Escherichia","s__Escherichia coli","Scaffold","none","GCA_000754175.1","none","none","na",623,623,"facultative anaerobe","facultative"
"RS_GCF_900117375.1",99.97,0.14,99.45,2.39,32.5179855590774,2744246,FALSE,"d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Mammaliicoccus;s__Mammaliicoccus sciuri","d__Bacteria","p__Bacillota","c__Bacilli","o__Staphylococcales","f__Staphylococcaceae","g__Mammaliicoccus","s__Mammaliicoccus sciuri","Scaffold","none","GCA_900117375.1","none","none","na",1296,1296,"facultative anaerobe","facultative"
